manuskrypt ;; rękopiśmienny tekst lub dokument, niepublikowany drukiem.
maska ;; narzędzie lub przedmiot noszony na twarzy lub głowie, służący do zasłaniania lub ochrony, często stosowany w celach higienicznych, medycznych, dekoracyjnych lub w celach ochrony przed szkodliwymi substancjami.
futerał ;; rodzaj pokrowca lub osłony służący do przechowywania lub ochrony przedmiotu, najczęściej wykonany z materiału lub tworzywa sztucznego.
samolot ;; latający środek transportu, zdolny do poruszania się w powietrzu dzięki wykorzystaniu sił aerodynamicznych.
ziarno ;; najmniejsza część rośliny zdolna do wykiełkowania i dająca początek nowej roślinie.
puszek ;; zdrobnienie od słowa ""puszka"", oznaczające mały pojemnik zwykle metalowy, służący do przechowywania różnych substancji lub przedmiotów.
cyfra ;; symbol numeryczny używany do reprezentowania liczb w systemie pozycyjnym.
urok ;; rodzaj magicznej siły lub zaklęcia mającej wpływ na losy lub zachowanie innych istot.
hufiec ;; jednostka organizacyjna związku harcerstwa polskiego, skupiająca kilka drużyn harcerskich w jednym regionie.
transmisja ;; proces przesyłania danych, informacji lub sygnału z jednego miejsca do drugiego, najczęściej za pomocą określonych środków komunikacyjnych.
świadczeniodawca ;; podmiot, który świadczy usługi lub kompletne usługi dla odbiorców, na przykład dostawca usług medycznych, ubezpieczeniowych, finansowych itp.
dual ;; przymiotnik oznaczający związek lub składanie dwóch elementów, często równorzędnych lub przeciwstawnych.
żeglarstwo ;; sport lub sposób podróżowania, polegający na poruszaniu się wodą za pomocą żagli, silnika lub wioseł.
report ;; is a formal document that presents information about a specific subject, situation, or event, typically in a structured format with analysis, conclusions, and recommendations.
respekt ;; uczucie szacunku, uznania i powagi wyrażane w stosunku do innych osób, ich działań, idei czy wartości.
opatrunek ;; specjalna forma zawijki lub materiału stosowana do osłonienia oraz ochrony rany lub urazu.
nieuczciwość ;; postępowanie sprzeczne z zasadami etyki, moralności oraz obowiązującymi normami społecznymi, cechujące się brakiem uczciwości, prawości i szczerości.
pojedynek ;; ustalony sposób rozstrzygania sporów lub konfliktów pomiędzy dwiema osobami poprzez walkę lub pojedynek.
dorzecze ;; obszar, z którego wody opadające na powierzchnię ziemi spływają do jednej konkretnej rzeki lub jeziora.
sprint ;; krótki okres czasu, zwykle trwający od 1 do 4 tygodni, podczas którego zespół pracy skupia się na realizacji określonych celów i dostarcza konkretne, wartościowe rezultaty.
świnia ;; ssak z rodziny świniowatych, hodowany głównie ze względu na mięso.
łów ;; czynność łowienia zwierząt lub ryb, zwykle w celu zdobycia pożywienia.
kompot ;; napój owocowy przygotowywany z gotowanych owoców, wody i cukru.
dzielnica ;; określony obszar wewnątrz większego miasta lub aglomeracji, charakteryzujący się określoną strukturą przestrzenną oraz funkcjonalną.
grawitacja ;; siła przyciągająca ciała masowe wzajemnie do siebie, zależna od ich masy i odległości między nimi.
inter ;; przyrostek lub przedrostek używany w języku angielskim, mający znaczenie ""pomiędzy"" lub ""wewnątrz"". może też oznaczać wzajemne działanie, np. interact - oddziaływać.
czapla ;; duża wędrowna ptak drapieżny z rodziny czaplowatych, charakteryzujący się długą szyją i nogami oraz ostro zakończonym dziobem.
zweryfikowanie ;; proces potwierdzenia prawdziwości lub autentyczności informacji, danych lub dokumentów.
schizofrenia ;; przewlekłe zaburzenie psychiczne charakteryzujące się utratą kontaktu z rzeczywistością, halucynacjami, urojeniami oraz zaburzeniami myślenia i emocji.
posiedzenie ;; formalne spotkanie grupy osób, zwykle mające na celu podjęcie decyzji, omówienie ważnych spraw lub rozwiązanie konkretnych problemów.
panel ;; płaski, zazwyczaj prostokątny fragment powierzchni służący do pokrywania lub ochrony czegoś, oraz do prezentacji informacji lub sterowania elementami systemu.
głaz ;; duży, naturalnie uformowany kamień, zwykle o gładkiej powierzchni, znaleziony na powierzchni ziemi.
cywil ;; osoba niebędąca członkiem wojska ani funkcjonariuszem służb mundurowych, a związana prawem cywilnym.
koleżanka ;; kobieta, która jest przyjaciółką lub współpracownicą, z którą ma się bliskie stosunki towarzyskie lub zawodowe.
ewaluacja ;; proces oceny, oszacowania lub badania skuteczności, skali, wartości lub wydajności czegoś, zwykle w celu podejmowania decyzji lub wniosków.
satelita ;; obiekt, który krąży wokół planet, gwiazd lub innych ciał niebieskich, będąc w ich zasięgu grawitacyjnym.
stronnik ;; osoba lub grupa wspierająca określonego polityka, organizację lub ruch polityczny.
debil ;; potoczne, pejoratywne określenie osoby obarczonej ograniczeniami intelektualnymi, często używane w sposób obraźliwy.
zdobywczyni ;; żeńska forma słowa oznaczającego osobę, która zdobywa coś, np. nagrodę, laur, zwycięstwo lub pozytywne doświadczenie.
wyrzeczenie ;; dobrowolnym zrezygnowaniem z czegoś, często dla dobra innych osób lub w celu osiągnięcia wyższego celu.
chichot ;; cichy, skrzący dźwięk wydawany przez osobę śmiejącą się delikatnie.
replika ;; wierna kopia lub reprodukcja czegoś, zwykle używana w kontekście dzieł sztuki, filmów, czy też obiektów naukowych.
renoma ;; ogólna reputacja, popularność i uznanie cieszące się przez osobę, firmę lub instytucję w społeczeństwie.
słabość ;; stan braku siły, niewielkiej wytrzymałości lub skłonności do poddawania się trudnościom.
załoga ;; grupa osób zatrudnionych do pracy razem na statku, samolocie, pociągu lub innym środku transportu, odpowiedzialna za obsługę, bezpieczeństwo oraz obsługę pasażerów.
leśniczy ;; osoba odpowiedzialna za nadzór i administrowanie obszarem leśnym, dbając o jego ochronę, rozwój i zrównoważone gospodarowanie zasobami leśnymi.
natchnienie ;; nagłe, silne przeżycie lub impuls twórczy, stan emocjonalnego podniesienia, który może prowadzić do inspiracji i artystycznej twórczości.
pobudka ;; sygnał dźwiękowy lub działanie mające na celu obudzenie kogoś ze snu lub wywołanie świadomości o poranku.
sportowiec ;; osoba aktywnie uprawiająca sport, posiadająca umiejętności fizyczne i techniczne oraz regularnie uczestnicząca w zawodach sportowych.
podatek ;; obowiązkowa płatność, którą określone podmioty muszą uiszczać na rzecz państwa lub innej instytucji publicznej, w celu finansowania jej działalności oraz pokrywania kosztów funkcjonowania społeczeństwa.
robotnik ;; osoba wykonująca pracę fizyczną lub umysłową w celu zarobkowania.
barwa ;; cecha przedmiotów, która określa ich odbicie lub emisję światła w zależności od długości fali. jest to subiektywne odczucie ludzkie, które postrzegane jest za pomocą oczu.
prohibicja ;; zakaz, ograniczenie lub zakazywanie czegoś, szczególnie dotyczące spożycia alkoholu.
mrowie ;; rodzaj owadów społecznych, które żyją w dużych koloniach zwanymi mrowiskami.
dewastacja ;; proces niszczenia, zniszczenie lub uszkodzenie obszaru naturalnego lub zabytkowego, najczęściej spowodowane działalnością człowieka.
jak ;; spójnik służący do pytania o sposób wykonania czegoś lub porównania dwóch zjawisk. może także pełnić funkcję przysłówka.
producent ;; osoba lub firma zajmująca się produkcją i wytwarzaniem towarów lub usług, zazwyczaj w celu ich sprzedaży na rynku.
grzęda ;; wąski, wysoki wał z ziemi, piasku lub kamieni.
designer ;; osoba zajmująca się projektowaniem, tworzeniem oraz modyfikacją produktów, takich jak ubrania, meble, grafiki czy aplikacje, mając na uwadze estetykę, funkcjonalność oraz użytkowość.
odpad ;; substancja lub materiał, którego właściciel lub posiadacz chce się pozbyć lub nie jest w stanie wykorzystać. może stanowić potencjalne zagrożenie dla środowiska, dlatego ważne jest odpowiednie jego zagospodarowanie.
kopytnik ;; roślina z rodziny pierwiosnkowatych, charakteryzująca się silnym, korzennym zapachem oraz jaskrawo czerwonymi kwiatami.
nuncjusz ;; wysoki rangą wysłannik papieski reprezentujący stolicę apostolską w stosunkach dyplomatycznych z innymi państwami lub instytucjami.
topnienie ;; proces przechodzenia substancji ze stanu stałego w ciekły pod wpływem podwyższonej temperatury.
surowiec ;; naturalny lub przetworzony materiał wykorzystywany do produkcji innych przedmiotów lub substancji.
dal ;; odległa, nieokreślona przestrzeń; obszar położony daleko od miejsca, w którym się aktualnie znajdujemy.
amoniak ;; związek chemiczny, bezbarwny gaz o charakterystycznym zapachu, składający się z atomów azotu i wodoru (nh3). jest powszechnie używany w przemyśle chemicznym, jako środek czyszczący i nawóz, a także w produkcji materiałów wybuchowych.
psychiatria ;; dział medycyny zajmujący się diagnozowaniem, leczeniem i zapobieganiem zaburzeniom psychicznym, emocjonalnym oraz behawioralnym.
wyż ;; obszar terenu, podniesienie o znacznym nachyleniu, zwykle niższe od góry.
kolokwializm ;; forma językowa lub wyrażenie charakterystyczne dla potocznego, nieoficjalnego używania języka, odbiegające od norm standardowych.
semestr ;; okres nauki trwający zazwyczaj pół roku, podczas którego odbywają się zajęcia dydaktyczne związane z danym programem nauczania.
kamerka ;; urządzenie służące do rejestrowania obrazu lub filmu, najczęściej w formie małej kamery, wbudowanej np. w laptopie lub smartfonie.
dodatek ;; dodatkowy element, często niezbędny do pełnego wykorzystania lub uzupełnienia czegoś, np. produktu lub informacji.
obsługa ;; działanie polegające na zapewnieniu klientom lub użytkownikom usług, pomocy lub wsparcia w korzystaniu z produktów lub usług.
sztuka ;; działalność twórcza, której celem jest wyrażanie myśli, uczuć i pomysłów za pomocą różnorodnych form i środków artystycznych.
urzędnik ;; osoba zatrudniona w służbie publicznej, odpowiedzialna za wykonywanie określonych obowiązków administracyjnych lub biurowych.
hrabia ;; dziedziczny tytuł szlachecki oznaczający męskiego członka arystokracji znajdującego się wyżej niż wicehrabia, a niżej niż książę.
dyspozycja ;; formalne zadanie lub polecenie, które ma zostać wykonane przez inną osobę lub instytucję.
bulion ;; klarowny płyn uzyskany z gotowania mięsa, warzyw i ziół, służący jako baza do zup i sosów.
patron ;; osoba lub instytucja wspierająca finansowo lub opiekująca się artystą, artystką, organizacją lub wydarzeniem.
rodzinka ;; potoczne określenie na najbliższą rodzinę lub grupę bliskich osób związanych więzami krwi lub więzią emocjonalną.
sprawca ;; osoba lub podmiot odpowiedzialny za dokonanie określonego czynu lub przestępstwa.
minimalizm ;; koncepcja, styl lub tendencja polegająca na redukcji zbędnych elementów do minimum, dążąca do prostoty, klarowności i oszczędności.
rozszerzenie ;; dodatkowy element, który uzupełnia lub powiększa pierwotną część czegoś.
parcelacja ;; podział większej nieruchomości na mniejsze działki z zachowaniem określonych warunków prawnych i urbanistycznych.
emulsja ;; stabilna mieszanina dwóch lub więcej nierozpuszczalnych cieczy, w której jedna substancja jest rozproszona w formie kropelek w drugiej substancji.
solidarność ;; współdziałanie, wsparcie i pomoc udzielana innym ludziom w trudnych sytuacjach oraz gotowość do niesienia pomocy potrzebującym.
złożoność ;; stopień skomplikowania, trudności lub zagadkowości czegoś, co wymaga skomplikowanych lub zaawansowanych rozwiązań. może dotyczyć zarówno problemów matematycznych, jak i sytuacji życiowych.
hokej ;; dynamiczny sport drużynowy, który odbywa się na lodzie, polega na zdobywaniu bramek za pomocą krążka i kijów.
psiak ;; potoczne określenie na psa, wykorzystywane zazwyczaj w sposób czuły lub przyjazny.
majonez ;; gęsta emulsja kuchenna, składająca się z jajek, oleju roślinnego, octu i przypraw.
planetoida ;; niewielkie ciało niebieskie krążące w przestrzeni kosmicznej, większe od meteorytu, ale mniejsze od planety karłowatej.
bełkot ;; sposób mówienia lub pisania charakteryzujący się brakiem sensu, zrozumiałości i porządku.
objaw ;; zewnętrzny przejaw choroby lub nieprawidłowości w organizmie, który jest obserwowalny lub odczuwalny przez lekarza lub pacjenta.
pierwiastka ;; pierwiastek to liczba, którą podniesiona do określonej potęgi daje pierwotną liczbę.
wanilia ;; aromatyczna przyprawa pochodzenia roślinnego, pochodząca z nasion strąków określonych gatunków storczyków.
ukłon ;; gest lub ruch ciała wykonywany jako forma grzecznościowego pozdrowienia lub okazania szacunku wobec drugiej osoby.
podkowa ;; metalowy przedmiot w kształcie łuku, służący do osłaniania i ochrony kopyt konia.
mundur ;; uniform lub strój służbowy noszony przez osoby pełniące określone funkcje, takie jak pracownicy służb mundurowych, wojskowi czy uczniowie szkół wojskowych.
przemyt ;; nielegalny przewóz towarów przez granice państwowe w sposób omijający cła i inne przepisy celne.
metabolizm ;; zespół procesów chemicznych zachodzących w organizmie, które służą przekształcaniu substancji odżywczych w energię niezbędną do życia oraz budowę i naprawę tkanek.
rozwój ;; proces zmian i postępu zachodzący w czasie, prowadzący do doskonalenia i poszerzenia możliwości danej dziedziny lub osobowości.
nurek ;; osoba specjalizująca się w nurkowaniu, zdolna do oddychania pod wodą za pomocą sprzętu nurkowego.
